user_name,personality ,I-E,S-N,T-F,J-P,captions,nb_emojis
,,,,,,,
100fires,infj,1,0,0,1," |||#tulum |||#tulum |||A nice suit and a smile can't hide the fact that trying to ram an ecological disaster through lands never ceded is a colonial act.  We are done with colonialism. #fuckyopipeline #wetsuwetenstrong #colonialism_is_bad_medicine |||Camilo at work :) |||Lo único que deseó este año. #amorrevolucionario |||Oh look the first dirty mirror selfie of the year. #thentvs #todaviaaquí |||Dammit, now we have to go back to city life.  #culebrapuertorico |||Culebra, Puerto Rico. Niños who read. #zacostacos los mejores burros :) their hours are bullshit tho  #culebrapuertorico |||Culebra, Puerto Rico #culebrapuertorico |||Roque, siempre Roque. #roquedalton |||Natalie Diaz #firstpeoples #todaviaaquí |||Noches de sushi y amor con Camilo. |||Elevated bike parking. #throwbackthursday #messkollective #messlife |||Hey just a quick hello to remind you to fight the power! 👊🏾✊🏽 |||Blu, aka mc poopy poops. |||Pitito assures me has totally filed taxes before. |||#messkollective next generation. |||Safety third. #bikeTaxiWatts |||Garol looking magnificent  greeting clients at #havencycles |||Todos los días y siempre. #comamierdacolón #comamierdacolonialismo #shepardfairey #obey |||#thatvancouverlife |||Vancouver.  #dopeassshit |||This was so good! If it comes to your city don’t sleep on it! #kapuscinski |||Best start to the day I have had in a long time. #poetryrulestheworldaroundme #ernestocardenal #nica4life |||The weekly phone calls to my moms always, always, always eventful. Though solid advice, I already knew all these. |||And just like that he is full-on Bushwick! #trackbikesisforthekids #pinarellofuckyeah #donttellhismom #havencycles |||Damn, when little homie starts taking your shirts! |||Happy to see progress in my little homie’s skills :) #lifeskills #enboxeowetrust |||Francisco x Alarcón",4
,,,,,,,
3easy ***,isfj,1,1,0,1,|||Electric Ginger. |||Rock. |||Crest. |||Wild. |||Burner. |||Fiji Time. |||Cup. |||Happy Valley. |||Royal Gerringong. |||Refreshments. |||Home Alone. |||King Julian. |||Jai Dee. |||Horizon. |||Sydney. |||Star. |||Pumpkin. |||Tigers. |||Coca Cola. |||Whirr. |||Tuna. |||Saddleback. |||@michlbrnt #respond16 @jensimmons |||Arrrgh. |||Trifecta. |||Harbour. |||Scroll. Respond16 Edition. |||In Over My Head. |||Mick’s Wall. |||Building.,0
,,,,,,,
7peaks,isfp,1,1,0,0,|||53/366 |||52/366 |||51/366 |||50/366 |||49/366 |||48/366 |||47/366 |||46/366 |||45/366 |||44/366 |||43/366 |||42/366 |||41/366 |||40/366 |||39/366 |||38/366 |||37/366 |||36/366 |||Hollister Peak35/366 |||Waiting for bud break34/366 |||33/366 |||#girldad |||32/366 |||31/366 |||30/366 |||UA550529/366 |||Barrel Samples28/366 |||New Vines27/366#sanluisobispo |||Vineyard Wildflowers#sanluisobispo |||Pruning Time26/366,0
,,,,,,,
aaffleck,enfp,0,0,0,0," |||Christmas Eve at First UU |||Meanwhile, in the sky... |||No. Just no. Too soon. Way too soon. |||The moon shot with an iPhone 11 Pro Max and zero retouching/editing. Loving the new camera! |||Team building exercise. |||Baby Eggplant. So adorbs! |||Caprese |||Key lime pancakes with coconut syrup. |||Table is set |||I named the loaf Alfred. |||Tuesday |||I’m going to post pictures of my dinner. I think it’s a new idea that’s really going to catch on. No one’s ever done this before. |||The only view that matters |||Zero Hour |||Sailing Sunbow |||Fleurs |||Providence |||Sailing Away |||No sand worms. |||Baby Ent? |||Grounds for... |||Slow drip. @the_chemex |||Out with the old... @the_chemex |||Let this be the end of it. |||Anyone wanna play? |||My lips are sealed |||Rush Hour |||After the Storm |||Let the games begin |||Lentils, brown basmati rice, caramelized onions, garlic, paprika, Sriracha, and an egg. The perfect breakfast. (original recipe: https://www.thekitchn.com/recipe-brown-rice-bowl-with-lentils-caramelized-onions-fried-egg-223112 )",0
,,,,,,,
aakar ***,estp,0,1,1,0," |||#TBT to last year.  One of the best trips ever! 🐐 🏈 |||End of an era ❤️ |||I'm so thankful that @adkelaher and @audreykelaher allowed me to crash their Thanksgiving week.  You folks really know how to make me feel like family!  Thanks to @audreykelaher for putting up with me for 3 days in her house.  Thank you @adkelaher for cooking all that amazing food!  And thanks to @uvahowes and @toryvictoria for including me in #temptationisland date night (you're welcome for the recommendation 😆). |||Throwback to the start of vacation last week in Madrid with @dannyboy7017.  Lots of ham, lots of wine, and lots of g&t’s.  And we should also not forget lots of models!  What a blast! |||One of those nice fall evenings in the city. #boston |||With portrait mode ""I make this shit look good"" 👏🏽 ""Also can you please tell me more about that ridiculously elaborate cocktail you just put on the table?"" 📸 credit: @bellashleybell |||I looked up to you from the day I was born.  Being your first grandson I became the center of your world.  As you raised me you taught me right from wrong and you believed in me when I didn’t believe in myself.  You were my hero and my role model.  You were the type of person I wanted to become.  You provided me with unequivocal love and support.  I wish I could have given you half of what you gave me, even though you never asked for anything except for my love in return (oh and that incensent desire for me to get married). I’m going to miss our phone calls and in person chats.  I’m going to miss that boisterous laugh and that joyful smile but most of all I’m going to miss you. 💔 |||🍖 🥩 sweats!  Always a great time seeing these guys.  Wish we could do it more often. |||Usually you're the one posting this but since you're on hiatus from Instagram: Happy #nationalsiblingday @nitafrosh! |||Just a perfect little Thursday night.  Not sure I can say enough good things about @tableboston and the great time we all had. Grab a reservation ASAP. |||Yes, this is an ad for rosé 📷: @nitafrosh |||Manweekend #9 was a success.  It's always such an incredible time seeing all these folks!  #manweekend2019 |||#tbt to a Super Bowl Sunday unlike any other one... I'm still on cloud 9 and my voice is still gone #patriots #lfg #massholesinhotlanta |||What an incredible trip!  Couldn’t have spent it with a better group of people.  The amount of Pats fans who took over was cray cray.  We’ll be celebrating this one for awhile... ✌️ out Atlanta #massholesinhotlanta #lfg #patriots #bradygoat @julezamess @joe4thenguyen @jchoumander |||This was so incredible #lfg #gopats @joe4thenguyen @julezamess |||We're still here #lfg #gopats @joe4thenguyen @julezamess |||Day numero dos #lfg #gopats @julezamess @joe4thenguyen @jchoumander |||Classy brewery stop with these folks #lfg #gopats #danknugs |||First night in Atlanta was a success.  Time to get ready for Super Bowl eve.  @julezamess @jchoumander @joe4thenguyen #lfg #massholesinhotlanta #gopats #patriots |||Holy jeebuz another SB run happening!!! My heart rate #LFG |||Happy dumpling day 🥟 |||Just in case I forgot to personally send a copy and pasted text message to you: Merry Christmas, Happy Holidays, and all that good jazz to all of you!  #maportraitmode #turnonportraitmode |||Just a little holiday fun with the family! |||Special people come into your life... people, when you’re young, who realize you aren’t comfortable in your own skin so they’ll let you climb on their backs until you’re comfortable enough to stand on your own.  People who give you a nickname that survives the test of time.  Sean, you were one of the first friends I made when I moved to Milford in third grade and I can't tell you how much I appreciate everything you did for me. You were such a special person, the guys and I are better people just to have known you and call you our friend.  I'm so grateful for the last few conversations we had and the time we spent together.  Your strength and acceptance was inspirational. I'll cherish that last hug we shared.  It was an honor to call you a friend but you know you’ll always be a brother to me.  Till we meet again bro, love you.P.S. when you see my mom, don't remind her that the bacon party at the ass crack of dawn in her house was your idea. |||Has it really been 3 years? You’re always top of mind mom, more so today than any other day.  Love you and miss you more than anyone knows. ♥️ |||Whoa now... thank you all for coming out and day drinking with me. Can’t express how much I ❤️ you all |||Iced |||Care.com crew celebrating a fantastic day!  Congrats @ara5h and @paiged90 |||Happy birthday to my lil sis @nitafrosh ! Live it up!  Don't do anything that I would! |||Eastie is a damn good time... Gnocchi, Rino special, grilled octopus, boar sausage, and scallops in limoncello sauce 🍋 😁.",17
